data;consumo_energia_eletrica_GWh
jan/09;30.667
fev/09;30.495
mar/09;31.978
abr/09;32.043
mai/09;30.945
jun/09;30.715
jul/09;31.325
ago/09;32.262
set/09;32.717
out/09;33.42
nov/09;33.617
dez/09;34.123
jan/10;33.362
fev/10;33.731
mar/10;35.118
abr/10;35.027
mai/10;34.298
jun/10;34.171
jul/10;33.851
ago/10;34.715
set/10;35.184
out/10;35.19
nov/10;35.079
dez/10;35.958
jan/11;35.875
fev/11;35.446
mar/11;36.352
abr/11;36.05
mai/11;35.567
jun/11;35.161
jul/11;35.419
ago/11;36.337
set/11;36.967
out/11;36.745
nov/11;36.37
dez/11;36.744
jan/12;36.305
fev/12;36.901
mar/12;38.623
abr/12;37.996
mai/12;36.81
jun/12;36.528
jul/12;35.917
ago/12;37.18
set/12;37.662
out/12;37.796
nov/12;38.644
dez/12;37.765
jan/13;38.367
fev/13;38.006
mar/13;38.442
abr/13;38.654
mai/13;38.345
jun/13;37.628
jul/13;37.698
ago/13;38.613
set/13;38.525
out/13;39.489
nov/13;40.003
dez/13;39.593
jan/14;40.551
fev/14;41.944
mar/14;40.498
abr/14;39.792
mai/14;39.291
jun/14;37.92
jul/14;38.071
ago/14;38.75
set/14;39.085
out/14;40.291
nov/14;41.158
dez/14;40.073
jan/15;40.635
fev/15;40.605
mar/15;39.602
abr/15;39.433
mai/15;38.05
jun/15;37.131
jul/15;36.684
ago/15;37.725
set/15;37.716
out/15;39.168
nov/15;39.114
dez/15;38.539
jan/16;38.225
fev/16;38.504
mar/16;39.233
abr/16;40.087
mai/16;38.496
jun/16;37.371
jul/16;37.097
ago/16;37.624
set/16;38.293
out/16;38.083
nov/16;38.647
dez/16;38.721
jan/17;39.24
fev/17;38.576
mar/17;40.408
abr/17;39.188
mai/17;38.034
jun/17;37.864
jul/17;37.223
ago/17;37.658
set/17;38.773
out/17;39.152
nov/17;39.629
dez/17;39.396
jan/18;39.509
fev/18;39.225
mar/18;39.968
abr/18;40.606
mai/18;39.143
jun/18;37.791
jul/18;37.894
ago/18;38.596
set/18;39.08
out/18;39.742
nov/18;40.318
dez/18;39.771
jan/19;41.142
fev/19;41.162
mar/19;40.938
abr/19;39.534
mai/19;40.435
jun/19;38.213
jul/19;38.265
ago/19;38.613
set/19;39.183
out/19;40.959
nov/19;41.7
dez/19;40.638
jan/20;41.144
